Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ryman, Davis C; Acosta-Baena, Natalia; Aisen, Paul S; Bird, Thomas; Danek, Adrian; Fox, Nick C; Goate, Alison; Frommelt, Peter; Ghetti, Bernardino; Langbaum, Jessica BS; ",Symptom onset in autosomal dominant Alzheimer disease A systematic review and meta-analysis,Neurology,83,3,253-260,2014,AAN Enterprises
"Dorfman, Verónica Berta; Pasquini, Laura; Riudavets, Miguel; López-Costa, Juan José; Villegas, Andrés; Troncoso, Juan Carlos; Lopera, Francisco; Castaño, Eduardo Miguel; Morelli, Laura; ",Differential cerebral deposition of IDE and NEP in sporadic and familial Alzheimer's disease,Neurobiology of aging,31,10,1743-1757,2010,Elsevier
"Pineda, DA; Kamphaus, RW; Mora, O; Restrepo, MA; Puerta, IC; Palacio, LG; Jiménez, I; Mejía, S; García, M; Arango, JC; ","Sistema de evaluación multidimensional de la conducta. Escala para padres de niños de 6 a 11 años, versión colombiana",Revista de neurología,28,7,672-681,1999,
"Velez‐Pardo, Carlos; Arellano, Jon I; Cardona‐Gomez, Patricia; Del Rio, Marlene Jimenez; Lopera, Francisco; De Felipe, Javier; ",CA1 Hippocampal Neuronal Loss in Familial Alzheimer's Disease Presenilin‐1 E280A Mutation Is Related to Epilepsy,Epilepsia,45,7,751-756,2004,Wiley Online Library
"Giraldo, Margarita; Lopera, Francisco; Siniard, Ashley L; Corneveaux, Jason J; Schrauwen, Isabelle; Carvajal, Julian; Muñoz, Claudia; Ramirez-Restrepo, Manuel; Gaiteri, Chris; Myers, Amanda J; ",Variants in triggering receptor expressed on myeloid cells 2 are associated with both behavioral variant frontotemporal lobar degeneration and Alzheimer's disease,Neurobiology of aging,34,8,2077. e11-2077. e18,2013,Elsevier
"Castro-Rebolledo, R; Giraldo-Prieto, M; Hincapié-Henao, L; Lopera, F; Pineda, DA; ","Trastorno específico del desarrollo del lenguaje: una aproximación teórica a su diagnóstico, etiología y manifestaciones clínicas",Revista de Neurología,39,12,1173-1181,2004,
"Mejia, Silvia; Giraldo, Margarita; Pineda, David; Ardila, Alfredo; Lopera, Francisco; ",Nongenetic factors as modifiers of the age of onset of familial Alzheimer's disease,International Psychogeriatrics,15,4,337-349,2003,Cambridge Univ Press
"Velez-Pardo, Carlos; Arroyave, Sergio Tobon; Lopera, Francisco; Castaño, Alexandra Duque; Rio, Marlene Jimenez Del; ",Ultrastructure evidence of necrotic neural cell death in familial Alzheimer's disease brains bearing presenilin-1 E280A mutation,Journal of Alzheimer's Disease,3,4,409-415,2001,IOS Press
"Parra, Mario A; Della Sala, Sergio; Abrahams, Sharon; Logie, Robert H; Méndez, Luis Guillermo; Lopera, Francisco; ",Specific deficit of colour–colour short-term memory binding in sporadic and familial Alzheimer's disease,Neuropsychologia,49,7,1943-1952,2011,Elsevier
"Arcos‐Burgos, M; Castellanos, FX; Lopera, F; Pineda, D; Palacio, JD; Garcia, M; Henao, GC; Palacio, LG; Berg, K; Bailey‐Wilson, JE; ",Attention‐deficit/hyperactivity disorder (ADHD): feasibility of linkage analysis in a genetic isolate using extended and multigenerational pedigrees,Clinical genetics,61,5,335-343,2002,Wiley Online Library
"Ardila, Alfredo; Lopera, Francisco; Rosselli, Mónica; Moreno, Sonia; Madrigal, Lucia; Arango-Lasprilla, Juan C; Arcos, Mauricio; Murcia, Clara; Arango-Viana, Juan C; Ossa, Jorge; ",Neuropsychological profile of a large kindred with familial Alzheimer's disease caused by the E280A single presenilin-1 mutation,Archives of clinical neuropsychology,15,6,515-528,2000,Elsevier
"Bobes, Maria A; Lopera, Francisco; Garcia, Mauricio; Déaz-Comas, Lourdes; Galan, Lidice; Valdes-Sosa, Mitchell; ",Covert matching of unfamiliar faces in a case of prosopagnosia: An ERP study,Cortex,39,1,41-56,2003,Elsevier
"Bobes, Maria A; Lopera, F; Díaz Comas, L; Galan, L; Carbonell, F; Bringas, ML; Valdés‐Sosa, M; ",Brain potentials reflect residual face processing in a case of prosopagnosia,Cognitive Neuropsychology,21,7,691-718,2004,Taylor & Francis
"Roselli, Monica; Ardila, Alfredo Ardila; Pineda, David; Lopera, Francisco; ",Neuropsicología infantil,,,,,1997,Prensa Creativa
